device_id,timestamp,speed,speedLimit,exceeded,alarmActivated,day,hour
speed-01,1735719502,39.05,30,TRUE,TRUE,Wednesday,8
speed-01,1735767809,33.37,30,TRUE,TRUE,Wednesday,21
speed-01,1735719632,29.69,30,FALSE,FALSE,Wednesday,8
speed-01,1735742906,14.61,30,FALSE,FALSE,Wednesday,14
speed-01,1735753287,29.55,30,FALSE,FALSE,Wednesday,17
speed-01,1735735916,22.62,30,FALSE,FALSE,Wednesday,12
speed-01,1735714206,23.8,30,FALSE,FALSE,Wednesday,6
speed-01,1735715967,34.63,30,TRUE,TRUE,Wednesday,7
speed-01,1735715266,25.29,30,FALSE,FALSE,Wednesday,7
speed-01,1735718581,19.89,30,FALSE,FALSE,Wednesday,8
speed-01,1735743221,24.77,30,FALSE,FALSE,Wednesday,14
speed-01,1735760613,28.47,30,FALSE,FALSE,Wednesday,19
speed-01,1735738513,21.65,30,FALSE,FALSE,Wednesday,13
speed-02,1735766415,48.51,40,TRUE,TRUE,Wednesday,21
speed-02,1735748605,39.77,40,FALSE,FALSE,Wednesday,16
speed-02,1735723694,42.35,40,TRUE,TRUE,Wednesday,9
speed-02,1735697303,26.5,40,FALSE,FALSE,Wednesday,2
speed-02,1735699816,32.63,40,FALSE,FALSE,Wednesday,2
speed-02,1735756472,44.59,40,TRUE,TRUE,Wednesday,18
speed-02,1735762087,40.39,40,TRUE,TRUE,Wednesday,20
speed-02,1735718062,48.7,40,TRUE,TRUE,Wednesday,7
speed-02,1735724040,48.87,40,TRUE,TRUE,Wednesday,9
speed-02,1735765320,31.53,40,FALSE,FALSE,Wednesday,21
speed-02,1735723568,45.27,40,TRUE,TRUE,Wednesday,9
speed-02,1735718352,40.2,40,TRUE,TRUE,Wednesday,7
speed-02,1735751009,38.09,40,FALSE,FALSE,Wednesday,17
speed-02,1735720724,27.65,40,FALSE,FALSE,Wednesday,8
speed-02,1735762018,40.52,40,TRUE,TRUE,Wednesday,20
speed-02,1735764104,34.12,40,FALSE,FALSE,Wednesday,20
speed-03,1735740657,45.84,50,FALSE,FALSE,Wednesday,14
speed-03,1735716278,46.42,50,FALSE,FALSE,Wednesday,7
speed-03,1735757811,53.61,50,TRUE,TRUE,Wednesday,18
speed-03,1735725907,35.9,50,FALSE,FALSE,Wednesday,10
speed-03,1735756903,78.44,50,TRUE,TRUE,Wednesday,18
speed-03,1735720291,28.08,50,FALSE,FALSE,Wednesday,8
speed-03,1735718271,61.64,50,TRUE,TRUE,Wednesday,7
speed-03,1735754568,44.58,50,FALSE,FALSE,Wednesday,18
speed-03,1735729218,48.16,50,FALSE,FALSE,Wednesday,11
speed-03,1735757563,68.65,50,TRUE,TRUE,Wednesday,18
speed-03,1735718158,29.6,50,FALSE,FALSE,Wednesday,7
speed-03,1735724243,52.56,50,TRUE,TRUE,Wednesday,9
speed-03,1735758932,48.78,50,FALSE,FALSE,Wednesday,19
speed-03,1735721885,56.9,50,TRUE,TRUE,Wednesday,8
speed-03,1735723502,53.31,50,TRUE,TRUE,Wednesday,9
speed-03,1735729611,47.57,50,FALSE,FALSE,Wednesday,11
speed-03,1735749540,55.17,50,TRUE,TRUE,Wednesday,16
speed-03,1735757362,67.72,50,TRUE,TRUE,Wednesday,18
speed-03,1735721276,52.96,50,TRUE,TRUE,Wednesday,8
speed-03,1735722047,49.63,50,FALSE,FALSE,Wednesday,9
speed-03,1735764848,54.02,50,TRUE,TRUE,Wednesday,20
speed-03,1735755302,46.15,50,FALSE,FALSE,Wednesday,18
speed-03,1735764670,59.65,50,TRUE,FALSE,Wednesday,20
speed-03,1735760359,30.5,50,FALSE,FALSE,Wednesday,19
speed-03,1735763068,60.69,50,TRUE,TRUE,Wednesday,20
speed-04,1735742435,47.28,60,FALSE,FALSE,Wednesday,14
speed-04,1735730395,66.66,60,TRUE,TRUE,Wednesday,11
speed-04,1735758992,64.98,60,TRUE,TRUE,Wednesday,19
speed-04,1735723777,91.67,60,TRUE,FALSE,Wednesday,9
speed-04,1735744046,36.7,60,FALSE,FALSE,Wednesday,15
speed-04,1735757192,48.68,60,FALSE,FALSE,Wednesday,18
speed-04,1735721238,74.28,60,TRUE,TRUE,Wednesday,8
speed-04,1735774168,62.36,60,TRUE,TRUE,Wednesday,23
speed-04,1735765180,56.6,60,FALSE,FALSE,Wednesday,20
speed-04,1735752634,61.76,60,TRUE,FALSE,Wednesday,17
speed-04,1735716031,53.09,60,FALSE,FALSE,Wednesday,7
speed-04,1735719881,67.42,60,TRUE,FALSE,Wednesday,8
speed-04,1735756785,60.54,60,TRUE,FALSE,Wednesday,18
speed-04,1735720001,49.1,60,FALSE,FALSE,Wednesday,8
